국내 지진목록 검색결과
번호,발생시각,규모,깊이(km),위도,경도,위치
154,03/03/19 18:44,1,13,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역
153,02/07/19 03:24,1,13,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
152,02/06/19 22:11,0.6,11,35.72 N,129.40 E,경북 경주시 남동쪽 21km 지역
151,02/04/19 23:19,1.7,15,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역
150,02/03/19 12:07,1.3,12,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
149,02/02/19 21:16,0.6,14,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
148,02/02/19 02:51,1.2,11,35.70 N,129.34 E,경북 경주시 남동쪽 19km 지역
147,01/27/19 22:52,0.7,10,35.76 N,129.36 E,경북 경주시 동남동쪽 16km 지역
146,01/27/19 02:47,1,11,35.73 N,129.34 E,경북 경주시 남동쪽 16km 지역
145,01/26/19 07:14,1.9,12,35.72 N,129.40 E,경북 경주시 남동쪽 21km 지역
144,01/26/19 00:51,1,12,35.73 N,129.40 E,경북 경주시 남동쪽 21km 지역
143,01/25/19 18:40,1,12,35.72 N,129.39 E,경북 경주시 남동쪽 21km 지역
142,01/24/19 13:27,1.1,13,35.71 N,129.40 E,경북 경주시 남동쪽 22km 지역
141,01/19/19 13:38,1.3,12,35.78 N,129.21 E,경북 경주시 남쪽 6km 지역
140,01/10/19 21:39,1.1,12,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역
139,01/10/19 05:31,2.5,17,35.79 N,129.20 E,경북 경주시 남남서쪽 5km 지역
138,01/03/19 07:00,1.2,15,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
137,12/29/18 00:26,1.4,11,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
136,12/26/18 16:43,1,14,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
135,12/25/18 16:21,1.4,15,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
134,12/17/18 08:25,0.7,10,35.77 N,129.37 E,경북 경주시 동남동쪽 16km 지역
133,12/09/18 21:04,0.7,12,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
132,12/09/18 08:03,1.3,13,35.79 N,129.19 E,경북 경주시 남남서쪽 6km 지역
131,12/06/18 22:16,1.3,15,35.78 N,129.08 E,경북 경주시 서남서쪽 14km 지역
130,12/02/18 09:53,0.9,12,35.78 N,129.21 E,경북 경주시 남쪽 6km 지역
129,11/30/18 11:44,1.1,14,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
128,11/27/18 16:17,1.7,16,35.80 N,129.41 E,경북 경주시 동남동쪽 18km 지역
127,11/24/18 22:42,1.5,17,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
126,11/24/18 21:47,1,14,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
125,11/20/18 17:11,0.9,13,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
124,11/16/18 20:40,0.6,12,35.73 N,129.30 E,경북 경주시 남남동쪽 14km 지역
123,11/07/18 15:11,1.6,13,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
122,11/06/18 06:36,0.7,16,35.74 N,129.01 E,경북 경주시 서남서쪽 21km 지역
121,11/02/18 16:14,1.2,16,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역
120,10/30/18 22:46,1.2,9,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
119,10/25/18 05:53,2.3,16,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
118,10/21/18 00:35,1,10,35.84 N,129.47 E,경북 경주시 동쪽 23km 지역
117,10/08/18 00:25,0.9,10,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
116,10/01/18 04:14,1.3,11,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
115,09/29/18 17:22,1.4,15,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
114,09/17/18 14:10,1.1,7,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역
113,09/16/18 19:21,0.8,12,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
112,09/16/18 19:18,0.8,11,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
111,09/16/18 05:58,0.9,13,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역
110,08/31/18 20:05,1.2,19,36.06 N,129.26 E,경북 경주시 북북동쪽 25km 지역
109,08/30/18 12:50,1.2,14,35.75 N,129.20 E,경북 경주시 남쪽 10km 지역
108,08/29/18 20:20,1.7,11,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
107,08/28/18 19:20,1,16,36.06 N,129.27 E,경북 경주시 북북동쪽 25km 지역
106,08/28/18 07:06,1.3,16,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
